,SMILES_original,SMILES_standardized,InChI_standardized,InChIKey_standardized,INPUT,FOUND_BY,DTXSID,PREFERRED_NAME
58,CCCCCN(CCCCC)C(=O)NC1=C(C)C=C(C)C=C1,CCCCCN(CCCCC)C(=O)Nc1ccc(C)cc1C,"InChI=1S/C19H32N2O/c1-5-7-9-13-21(14-10-8-6-2)19(22)20-18-12-11-16(3)15-17(18)4/h11-12,15H,5-10,13-14H2,1-4H3,(H,20,22)",JLKFWGMUCHKIGD-UHFFFAOYSA-N,DTXSID40608140,DSSTox_Substance_Id,DTXSID40608140,"N'-(2,4-Dimethylphenyl)-N,N-dipentylurea"
59,CC1=CC2=NC=C(NC(=O)NC3=C(F)C=C(F)C=C3)C(C3=CC=CC=C3Cl)=C2C=C1C,Cc1cc2ncc(NC(=O)Nc3ccc(F)cc3F)c(-c3ccccc3Cl)c2cc1C,"InChI=1S/C24H18ClF2N3O/c1-13-9-17-21(10-14(13)2)28-12-22(23(17)16-5-3-4-6-18(16)25)30-24(31)29-20-8-7-15(26)11-19(20)27/h3-12H,1-2H3,(H2,29,30,31)",FFKNNBNIAHVVCU-UHFFFAOYSA-N,DTXSID40155987,DSSTox_Substance_Id,DTXSID40155987,"N-(4-(2-Chlorophenyl)-6,7-dimethyl-3-quinolyl)-N'-(2,4-difluorophenyl)urea"
60,CCCCN(CCCC)C(=O)NC1=C(C)C(Cl)=CC=C1,CCCCN(CCCC)C(=O)Nc1cccc(Cl)c1C,"InChI=1S/C16H25ClN2O/c1-4-6-11-19(12-7-5-2)16(20)18-15-10-8-9-14(17)13(15)3/h8-10H,4-7,11-12H2,1-3H3,(H,18,20)",BUKYPLDYWBEYRI-UHFFFAOYSA-N,DTXSID70589554,DSSTox_Substance_Id,DTXSID70589554,"N,N-Dibutyl-N'-(3-chloro-2-methylphenyl)urea"
61,CCCCN(CCCC)C(=O)NC1=CC=C(I)C=C1,CCCCN(CCCC)C(=O)Nc1ccc(I)cc1,"InChI=1S/C15H23IN2O/c1-3-5-11-18(12-6-4-2)15(19)17-14-9-7-13(16)8-10-14/h7-10H,3-6,11-12H2,1-2H3,(H,17,19)",VJEDPFYJNAODPX-UHFFFAOYSA-N,DTXSID90608130,DSSTox_Substance_Id,DTXSID90608130,"N,N-Dibutyl-N'-(4-iodophenyl)urea"
62,CCCCN(CCCC)C(=O)NC1=C(Cl)C(Cl)=CC=C1,CCCCN(CCCC)C(=O)Nc1cccc(Cl)c1Cl,"InChI=1S/C15H22Cl2N2O/c1-3-5-10-19(11-6-4-2)15(20)18-13-9-7-8-12(16)14(13)17/h7-9H,3-6,10-11H2,1-2H3,(H,18,20)",KZEMDLLHTKCHRW-UHFFFAOYSA-N,DTXSID20393103,DSSTox_Substance_Id,DTXSID20393103,"Urea, N,N-dibutyl-N'-(2,3-dichlorophenyl)-"
63,COC1=CC=C(C=C1)C1=C(NC(=S)N1)C1=CC=C(OC)C=C1,COc1ccc(-c2[nH]c(=S)[nH]c2-c2ccc(OC)cc2)cc1,"InChI=1S/C17H16N2O2S/c1-20-13-7-3-11(4-8-13)15-16(19-17(22)18-15)12-5-9-14(21-2)10-6-12/h3-10H,1-2H3,(H2,18,19,22)",NZKLDYYRLVFZCE-UHFFFAOYSA-N,DTXSID50361118,DSSTox_Substance_Id,DTXSID50361118,"4,5-Bis(4-methoxyphenyl)-1,3-dihydro-2H-imidazole-2-thione"
64,C1CCC(CC1)C1=NC(=C(N1)C1=CC=CC=C1)C1=CC=CC=C1,c1ccc(-c2nc(C3CCCCC3)[nH]c2-c2ccccc2)cc1,"InChI=1S/C21H22N2/c1-4-10-16(11-5-1)19-20(17-12-6-2-7-13-17)23-21(22-19)18-14-8-3-9-15-18/h1-2,4-7,10-13,18H,3,8-9,14-15H2,(H,22,23)",LDMYJRJLSGLBHW-UHFFFAOYSA-N,DTXSID30364102,DSSTox_Substance_Id,DTXSID30364102,"2-cyclohexyl-4,5-diphenyl-1H-imidazole"
65,CCCCCCCCCCN(CCCCCCCCCC)C(=O)NC1=C(C)C=C(C)C=C1,CCCCCCCCCCN(CCCCCCCCCC)C(=O)Nc1ccc(C)cc1C,"InChI=1S/C29H52N2O/c1-5-7-9-11-13-15-17-19-23-31(24-20-18-16-14-12-10-8-6-2)29(32)30-28-22-21-26(3)25-27(28)4/h21-22,25H,5-20,23-24H2,1-4H3,(H,30,32)",BSFGJAQNWOUCGU-UHFFFAOYSA-N,DTXSID10608137,DSSTox_Substance_Id,DTXSID10608137,"N,N-Didecyl-N'-(2,4-dimethylphenyl)urea"
66,CCCCN(CCCC)C(=O)NC1=CC=C(C)C=C1,CCCCN(CCCC)C(=O)Nc1ccc(C)cc1,"InChI=1S/C16H26N2O/c1-4-6-12-18(13-7-5-2)16(19)17-15-10-8-14(3)9-11-15/h8-11H,4-7,12-13H2,1-3H3,(H,17,19)",SRAWWSSZOMEQHP-UHFFFAOYSA-N,DTXSID30407260,DSSTox_Substance_Id,DTXSID30407260,"Urea, N,N-dibutyl-N'-(4-methylphenyl)-"
67,CCCCN(CC1=CC2=C(OCO2)C=C1)C(=O)NC1=C(C)C=C(C)C=C1,CCCCN(Cc1ccc2c(c1)OCO2)C(=O)Nc1ccc(C)cc1C,"InChI=1S/C21H26N2O3/c1-4-5-10-23(13-17-7-9-19-20(12-17)26-14-25-19)21(24)22-18-8-6-15(2)11-16(18)3/h6-9,11-12H,4-5,10,13-14H2,1-3H3,(H,22,24)",XJTIVCLQTFHBDG-UHFFFAOYSA-N,DTXSID40568851,DSSTox_Substance_Id,DTXSID40568851,"N-[(2H-1,3-Benzodioxol-5-yl)methyl]-N-butyl-N'-(2,4-dimethylphenyl)urea"
68,ClC1=CC(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)=CC(Cl)=C1,O=C(Nc1cc(Cl)cc(Cl)c1)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C21H18Cl2N2O/c22-18-11-19(23)13-20(12-18)24-21(26)25(14-16-7-3-1-4-8-16)15-17-9-5-2-6-10-17/h1-13H,14-15H2,(H,24,26)",ALZMRHNLRTYPBK-UHFFFAOYSA-N,DTXSID90608155,DSSTox_Substance_Id,DTXSID90608155,"N,N-Dibenzyl-N'-(3,5-dichlorophenyl)urea"
69,CCCCN(CCCC)C(=O)NC1=CC(=C(Cl)C=C1)C(F)(F)F,CCCCN(CCCC)C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,"InChI=1S/C16H22ClF3N2O/c1-3-5-9-22(10-6-4-2)15(23)21-12-7-8-14(17)13(11-12)16(18,19)20/h7-8,11H,3-6,9-10H2,1-2H3,(H,21,23)",FITZPTZUGQEKMO-UHFFFAOYSA-N,DTXSID00608146,DSSTox_Substance_Id,DTXSID00608146,"N,N-Dibutyl-N'-[4-chloro-3-(trifluoromethyl)phenyl]urea"
70,CC1=CC=C(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)C=C1,Cc1ccc(NC(=O)N(Cc2ccccc2)Cc2ccccc2)cc1,"InChI=1S/C22H22N2O/c1-18-12-14-21(15-13-18)23-22(25)24(16-19-8-4-2-5-9-19)17-20-10-6-3-7-11-20/h2-15H,16-17H2,1H3,(H,23,25)",UQTSCLRTSKBRST-UHFFFAOYSA-N,DTXSID70397010,DSSTox_Substance_Id,DTXSID70397010,"1,1-dibenzyl-3-(4-methylphenyl)urea"
71,CCCCN(CC1=CC=CC=C1)C(=O)NC1=CC=C(C)C=C1,CCCCN(Cc1ccccc1)C(=O)Nc1ccc(C)cc1,"InChI=1S/C19H24N2O/c1-3-4-14-21(15-17-8-6-5-7-9-17)19(22)20-18-12-10-16(2)11-13-18/h5-13H,3-4,14-15H2,1-2H3,(H,20,22)",OPXRPBOSFMMZMA-UHFFFAOYSA-N,DTXSID50547874,DSSTox_Substance_Id,DTXSID50547874,N-Benzyl-N-butyl-N'-(4-methylphenyl)urea
72,FC1=CC(NC(=O)N(CC2=CC=CC=C2)CC2=CC=CC=C2)=C(F)C=C1,O=C(Nc1cc(F)ccc1F)N(Cc1ccccc1)Cc1ccccc1,"InChI=1S/C21H18F2N2O/c22-18-11-12-19(23)20(13-18)24-21(26)25(14-16-7-3-1-4-8-16)15-17-9-5-2-6-10-17/h1-13H,14-15H2,(H,24,26)",SHIXTQUPAMPZAE-UHFFFAOYSA-N,DTXSID40608160,DSSTox_Substance_Id,DTXSID40608160,"N,N-Dibenzyl-N'-(2,5-difluorophenyl)urea"
