OASIS_ID,Compound_name,Assay_Endpoint,POD_um,POD_um_l,POD_um_u,Bioactivity_POD
OASIS1513,Bithionol,gmd,17.782307785661402,17.412491194288577,18.141585865490985,false
OASIS1513,Bithionol,Nuclei_AGP,47.80150725010864,47.27564734718948,48.326808804909255,false
OASIS1513,Bithionol,Nuclei_AreaShape,42.67920347702539,41.94121202918831,43.41698404763593,false
OASIS1513,Bithionol,Nuclei_DNA,16.430917684540702,16.121290707788983,16.732377556976704,false
OASIS1513,Bithionol,Nuclei_Mito,3.183096904109599,3.1297898253466716,3.2369856835840167,false
OASIS1513,Bithionol,Nuclei_RNA,3.073781807981426,3.0168215591932053,3.131420847178549,true
OASIS742,Bexarotene,Cells_DNA,73.99355888774414,72.02358654503612,75.98138253155587,false
OASIS742,Bexarotene,Cells_Mito,32.13744102869695,27.519081665276126,37.39004634426244,true
OASIS742,Bexarotene,Cytoplasm_DNA,57.59870163896378,51.9244038740507,63.8036768924252,false
OASIS742,Bexarotene,Cytoplasm_ER,96.65900688052423,96.22619802841939,97.08672711554892,false
OASIS742,Bexarotene,Cytoplasm_Mito,48.96460512566991,42.33356764329417,56.465738755900894,false
OASIS742,Bexarotene,Nuclei_AreaShape,81.78337243818562,80.55397705998205,83.0088472661101,false
OASIS861,Lercanidipine,Cells_AGP,45.662682345744365,44.38741908288994,46.93399192005338,false
OASIS861,Lercanidipine,Cells_DNA,36.64199807823002,35.15221114117166,38.1536737513315,false
OASIS861,Lercanidipine,Cells_ER,57.62655851862827,55.57573205545669,59.70646362493531,false
OASIS861,Lercanidipine,Cells_Mito,44.329500628246976,42.79250366182049,45.84953372253762,false
OASIS861,Lercanidipine,Cells_RNA,57.16371979809564,51.013181892202326,62.90357731330035,false
OASIS861,Lercanidipine,Cytoplasm_AGP,47.239821491927216,42.645615903625234,51.760540498395116,false
OASIS861,Lercanidipine,Cytoplasm_DNA,70.29164529474616,68.40989211019057,72.18308784832912,false
OASIS861,Lercanidipine,Cytoplasm_ER,47.759964994014084,46.298534507649,49.2289217836635,false
OASIS861,Lercanidipine,Cytoplasm_Mito,40.29276355442186,38.87108362486277,41.71038333551938,false
OASIS861,Lercanidipine,Nuclei_AreaShape,59.45806886287661,57.85896606457007,61.07243688598889,false
OASIS861,Lercanidipine,Nuclei_DNA,26.83859153771918,24.710544321195457,29.129589628691875,true
OASIS861,Lercanidipine,Nuclei_Mito,53.72298451087363,51.88769181372238,55.58812077179939,false
OASIS861,Lercanidipine,Nuclei_RNA,71.27447868970228,69.80994764392321,72.7163706857569,false
,Compound_ed9176f4,Cells_AGP,9.162759013873144,8.08377239193205,10.3835716830791,false
,Compound_ed9176f4,Cells_AreaShape,43.03985629670881,38.15623791157814,48.510208647559544,false
,Compound_ed9176f4,Cells_DNA,23.51670085838116,21.398049837339542,25.830589237341485,false
,Compound_ed9176f4,Cells_ER,27.813738710887893,26.59641604016765,29.063383290215565,false
,Compound_ed9176f4,Cells_Mito,16.004154966506643,14.701428759231336,17.36518062671779,false
,Compound_ed9176f4,Cells_RNA,6.03642701348147,1.57936466252197,27.659158728752004,true
,Compound_ed9176f4,Cytoplasm_AGP,30.982888261820687,12.691815693541612,79.89104244119635,false
,Compound_ed9176f4,Cytoplasm_AreaShape,38.9644590790978,36.8692795579217,41.120137702336706,false
,Compound_ed9176f4,Cytoplasm_DNA,15.318261083740996,14.301070709249954,16.37716905865262,false
,Compound_ed9176f4,Cytoplasm_ER,52.01339921678905,50.156646187412534,53.89015513874823,false
,Compound_ed9176f4,Cytoplasm_Mito,19.771175518122366,18.601374206717736,20.971739485245646,false
,Compound_ed9176f4,Nuclei_AGP,16.172945854964965,14.809823392465645,17.64082689823428,false
,Compound_ed9176f4,Nuclei_AreaShape,12.981247939467563,12.135780833317046,13.876477995384064,false
,Compound_ed9176f4,Nuclei_DNA,10.44844361195755,9.930240142785465,10.981146173561214,false
,Compound_ed9176f4,Nuclei_ER,13.741045621048428,13.084201898725398,14.423514672076951,false
,Compound_ed9176f4,Nuclei_Mito,13.939756247107633,12.679801109688311,15.326293308048678,false
,Compound_ed9176f4,Nuclei_RNA,14.115590942575503,13.49958654151739,14.740403754070854,false
OASIS834,Temsirolimus,Cells_AGP,1.392358416886035,1.1416146363378175,1.6994162106601127,false
OASIS834,Temsirolimus,Cells_AreaShape,3.3266260897107776,3.087709715349661,3.5785347020258707,false
OASIS834,Temsirolimus,Cells_DNA,5.553558553378713,4.148623459150713,7.382540827002111,false
OASIS834,Temsirolimus,Cells_ER,16.724171133354858,14.131949592892164,19.59693953028815,false
OASIS834,Temsirolimus,Cells_Mito,0.2433678862449179,0.1712964660871422,0.3542469074791347,false
OASIS834,Temsirolimus,Cells_RNA,11.58499731099611,10.564625562632516,12.677505565701457,false
OASIS834,Temsirolimus,Cytoplasm_AGP,0.24951986349880095,0.19633839394840227,0.3211602008876746,false
OASIS834,Temsirolimus,Cytoplasm_AreaShape,1.7267396265936077,1.5969945992732777,1.8635417897124809,false
OASIS834,Temsirolimus,Cytoplasm_DNA,0.22770647624394164,0.15780706440638562,0.33634122268608885,false
OASIS834,Temsirolimus,Cytoplasm_ER,19.555623262051146,18.408375331126187,20.75133855300683,false
OASIS834,Temsirolimus,Cytoplasm_Mito,0.28847801274082163,0.212602522561135,0.39823852730298587,false
OASIS834,Temsirolimus,Cytoplasm_RNA,0.1470485557654732,0.12539551073924632,0.17348588804980838,false
OASIS834,Temsirolimus,gmd,45.6078385380442,44.08775702502868,47.18775441025153,false
OASIS834,Temsirolimus,Nuclei_AreaShape,0.04783822093753193,0.04452144746662572,0.051580633789872356,true
OASIS834,Temsirolimus,Nuclei_DNA,0.3620500914902907,0.31598049921158744,0.41559855127524853,false
OASIS834,Temsirolimus,Nuclei_ER,25.660353756517576,23.363338578615814,28.099544793815642,false
OASIS834,Temsirolimus,Nuclei_Mito,0.3468067198014459,0.21347206366082475,0.5884502607178239,false
OASIS834,Temsirolimus,Nuclei_RNA,0.22330551808585594,0.18707812565774729,0.2683307716006147,false
OASIS848,Galanthamine,Nuclei_DNA,99.3110592591348,98.27007218416604,100.34895086315666,true
OASIS1377,Metopimazine,Cells_AGP,54.46392218994777,51.86046368822923,57.10073860988025,false
OASIS1377,Metopimazine,Cells_AreaShape,55.1170053488317,53.43853442226924,56.7904145858664,false
OASIS1377,Metopimazine,Cells_DNA,50.74333271618531,46.03235223887694,55.591549213712746,false
OASIS1377,Metopimazine,Cells_ER,39.67616434205783,37.29281045637045,41.90353731829252,false
OASIS1377,Metopimazine,Cells_Mito,47.95048873853235,45.49952191623598,50.269390700741056,false
OASIS1377,Metopimazine,Cells_RNA,9.190060259093027,7.587334037656385,11.029948011257618,true
OASIS1377,Metopimazine,Cytoplasm_AGP,44.059490451278116,41.95648704409711,46.054278898081755,false
OASIS1377,Metopimazine,Cytoplasm_AreaShape,47.30965298197303,45.361993729301766,49.25396926954616,false
OASIS1377,Metopimazine,Cytoplasm_DNA,9.794435155366925,8.630896500077677,11.071428943078677,false
OASIS1377,Metopimazine,Cytoplasm_ER,72.9844022339366,71.77171786911258,74.18667222826646,false
OASIS1377,Metopimazine,Cytoplasm_Mito,47.40319081790354,45.57833192315792,49.15282407851369,false
OASIS1377,Metopimazine,gmd,70.98337445787607,68.30562284217397,73.75220692189542,false
OASIS1377,Metopimazine,Nuclei_AGP,36.6029080721994,32.177788552414476,40.90517465553059,false
OASIS1377,Metopimazine,Nuclei_AreaShape,40.01037554088456,39.359546346880634,40.65715849980579,false
OASIS1377,Metopimazine,Nuclei_DNA,43.92434662986407,42.02363983093131,45.85882670648704,false
OASIS1377,Metopimazine,Nuclei_ER,51.609815723048385,48.383761457958755,54.90905685305,false
OASIS1377,Metopimazine,Nuclei_Mito,52.583798485241914,49.19334879120599,55.75139396324975,false
OASIS1377,Metopimazine,Nuclei_RNA,79.5681177041493,77.59938409987929,81.52878422659113,false
OASIS1023,Pantoprazole,Cells_AGP,23.139835065994003,19.908775356033246,26.808954416732703,false
OASIS1023,Pantoprazole,Cells_AreaShape,52.353794242340086,50.25965984146404,54.455772433608885,false
OASIS1023,Pantoprazole,Cells_DNA,8.552293278915187,3.4561338524114324,22.726453357791403,false
OASIS1023,Pantoprazole,Cells_ER,43.803930753409695,38.39531196289683,49.52363152888813,false
OASIS1023,Pantoprazole,Cells_Mito,10.832223436966055,4.563726668325206,27.359069652351877,false
OASIS1023,Pantoprazole,Cells_RNA,38.605505694266554,36.37256935954582,40.90405457440792,false
OASIS1023,Pantoprazole,Cytoplasm_AGP,10.59689066547144,9.399913790808768,11.908561612714935,false
OASIS1023,Pantoprazole,Cytoplasm_AreaShape,50.79917494284571,49.38387453687354,52.172442665491715,false
OASIS1023,Pantoprazole,Cytoplasm_DNA,11.346855136489618,4.514225804084466,30.302115798698896,false
OASIS1023,Pantoprazole,Cytoplasm_ER,40.46730602992455,38.13709189076145,42.88716083484421,false
OASIS1023,Pantoprazole,Cytoplasm_Mito,38.32747248163205,33.22290733745527,43.99474096900532,false
