ensmbl_gene_name,Du_PHH_1,Du_PHH_2,Fu_PHH_1,Fu_PHH_2,Kim_PHH_1,Kim_PHH_2,Koui_PHH_1,Koui_PHH_2,Xiang_PHH_1,Xiang_PHH_2,Xie_PHH_1,Xie_PHH_2,Xie_PHH_3,Schneeberger_PHH_1,Schneeberger_PHH_2,Gao_PHH,Boon_PHH_1,Boon_PHH_2,Wang_PHH_1,Wang_PHH_2
ENSG00000270352.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228566.2,0,2,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0
ENSG00000213609.3,3,2,7,2,10,11,0,0,0,0,0,0,5,0,0,5,0,0,1,0
ENSG00000226426.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235489.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000233900.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270648.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000216740.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000224714.3,8,19,2,0,0,1,10,8,0,3,16,0,14,1,1,0,6,0,2,3
ENSG00000270754.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282906.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227173.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ENSG00000233724.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235356.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228065.11,13,18,30,31,3,2,16,37,1,2,31,5,13,3,0,8,24,8,5,17
ENSG00000183230.17,89,121,271,177,29,30,28,20,43,88,296,11,186,93,44,93,83,81,110,189
ENSG00000273360.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277056.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198739.11,0,0,5,6,0,0,1,2,0,1,3,0,8,0,0,0,0,0,0,0
ENSG00000225299.1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000226448.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276866.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
